Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57984.758  2.229 Sinistro    LCO1m       g       19.93  0.21 -0.51 2017Natur.551...64A *         
57984.758  2.229 Sinistro    LCO1m       w       19.11  0.06  0.00 2017Natur.551...64A         X 
57984.761  2.232 Sinistro    LCO1m       g       19.80  0.20 -1.44 2017Natur.551...64A *         
57984.761  2.232 Sinistro    LCO1m       w       19.11  0.06  0.00 2017Natur.551...64A         X 
57984.761  2.232 GFC         Pan-STARRS  r       18.80  0.07  0.00 2017Natur.551...75S *         
57984.883  2.354 UVOT        Swift       U     > 20.41        0.00 2017arXiv171005437E *         
57984.885  2.356 UVOT        Swift       B     > 19.31        0.00 2017arXiv171005437E *         
57984.890  2.361 UVOT        Swift       W2    > 22.16        0.00 2017arXiv171005437E *         
57984.895  2.366 UVOT        Swift       V     > 18.72        0.00 2017arXiv171005437E *         
57984.960  2.431 ROS2        REM         I       18.35  0.10  0.00 2017Natur.551...67P *         
57984.960  2.431 ROS2        REM         g       20.31  0.28  0.00 2017Natur.551...67P *         
57984.960  2.431 ROS2        REM         r       19.18  0.10  0.00 2017Natur.551...67P *         
57984.962  2.433 FourStar    Magellan    Ks      17.55  0.06  0.00 2017arXiv171005443D *         
57984.963  2.433 FourStar    Magellan    J       17.55  0.01  0.00 2017arXiv171005443D *         
57984.968  2.439 FLAMINGOS-2 Gemini-S    H       17.71  0.09  0.00 2017ApJ...848L..17C *         
57984.968  2.439 Sinistro    LCO1m       r       19.10  0.11 -0.11 2017Natur.551...64A *         
57984.969  2.440 GROND       LaSilla     H       17.64  0.08  0.00 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     J       17.73  0.09  0.00 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     K       17.66  0.10 -0.24 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     g       20.19  0.11  0.00 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     i       18.58  0.04  0.00 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     r       19.13  0.17  0.00 2017Natur.551...75S *         
57984.969  2.440 GROND       LaSilla     z       18.33  0.06  0.00 2017Natur.551...75S *         
57984.969  2.440 FORS        VLT         r       18.77  0.04  0.00 2017ApJ...848L..27T *         
57984.971  2.442 FourStar    Magellan    H       17.57  0.01  0.00 2017arXiv171005443D *         
57984.971  2.442 EFOSC2      NTT         V       19.40  0.11  0.00 2017arXiv171005443D *         
57984.975  2.446 DECam       Blanco/CTIO Y       17.77  0.03  0.00 2017ApJ...848L..17C *         
57984.975  2.446 Sinistro    LCO1m       i       18.61  0.15 -0.56 2017Natur.551...64A *         
57984.976  2.447 DECam       Blanco/CTIO z       18.18  0.03  0.00 2017ApJ...848L..17C *         
57984.976  2.447 AltaU47+    Prompt5     r       19.34  0.08  0.00 2017ApJ...848L..24V *         
57984.976  2.447 DECam       Blanco/CTIO i       18.38  0.03  0.00 2017ApJ...848L..17C *         
57984.977  2.448 DECam       Blanco/CTIO r       19.03  0.03  0.00 2017ApJ...848L..17C *         
